"項目","単位","1985_S60","1986_S61","1987_S62","1988_S63","1989_H1","1990_H2","1991_H3","1992_H4","1993_H5","1994_H6","1995_H7","1996_H8","1997_H9","1998_H10","1999_H11","2000_H12","2001_H13","2002_H14","2003_H15","2004_H16","2005_H17","2006_H18","2007_H19","2008_H20","2009_H21","2010_H22","2011_H23","2012_H24","2013_H25","2014_H26","2015_H27","有効数字(少数桁)"
"総人口・男・女　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"総人口　県計","","1087206.0","1083389.0","1079386.0","1076093.0","1074245.0","1074325.0","1074413.0","1075024.0","1075908.0","1078756.0","1080435.0","1079924.0","1078184.0","1075807.0","1073232.0","1069912.0","1064845.0","1058742.0","1051693.0","1044657.0","1035969.0","1029029.0","1021575.0","1014213.0","1008132.0","1002198.0","995251.0","988269.0","980533.0","972475.0","963850.0",""
"総人口_和歌山市","","401352.0","400621.0","399150.0","397752.0","396519.0","396553.0","396389.0","395709.0","394805.0","394571.0","393885.0","392488.0","390907.0","389236.0","388220.0","386551.0","384811.0","382363.0","380045.0","378064.0","375591.0","373844.0","372897.0","371890.0","371198.0","370364.0","369470.0","368336.0","367154.0","365723.0","364285.0",""
"総人口_海南市","","67218.0","66592.0","65934.0","65280.0","64806.0","64390.0","64273.0","63760.0","63327.0","63017.0","62634.0","62156.0","61715.0","61280.0","60815.0","60373.0","59862.0","59448.0","58986.0","58296.0","57744.0","56981.0","56329.0","55768.0","55283.0","54783.0","54116.0","53734.0","53151.0","52556.0","51879.0",""
"総人口_橋本市","","56755.0","56899.0","57228.0","58446.0","60367.0","62156.0","63504.0","65456.0","66854.0","68156.0","69329.0","69990.0","70348.0","70738.0","70655.0","70469.0","70131.0","69917.0","69292.0","68978.0","68529.0","68187.0","67676.0","67259.0","66795.0","66361.0","65952.0","65288.0","64780.0","64165.0","63609.0",""
"総人口_有田市","","35401.0","35413.0","35376.0","35227.0","34952.0","34810.0","34770.0","34654.0","34496.0","34344.0","34283.0","34271.0","34166.0","34058.0","33834.0","33661.0","33400.0","33141.0","32846.0","32573.0","32143.0","31771.0","31418.0","31087.0","30804.0","30592.0","30194.0","29837.0","29371.0","28965.0","28479.0",""
"総人口_御坊市","","30450.0","30276.0","30023.0","29662.0","29330.0","29133.0","28914.0","28661.0","28679.0","28587.0","28510.0","28452.0","28312.0","28185.0","28154.0","28034.0","28045.0","27879.0","27592.0","27305.0","27053.0","26811.0","26513.0","26283.0","26173.0","26111.0","25906.0","25683.0","25438.0","25079.0","24803.0",""
"総人口_田辺市","","88263.0","87750.0","87343.0","87203.0","86530.0","86143.0","85854.0","85903.0","85967.0","86205.0","86159.0","86246.0","86270.0","86072.0","85878.0","85646.0","85363.0","84737.0","84102.0","83271.0","82499.0","81724.0","80972.0","80180.0","79580.0","79119.0","78299.0","77666.0","76882.0","75863.0","74777.0",""
"総人口_新宮市","","40465.0","39930.0","39494.0","38998.0","38532.0","38140.0","37730.0","37198.0","36882.0","36469.0","36278.0","36092.0","35821.0","35484.0","35355.0","35176.0","34925.0","34612.0","34342.0","34106.0","33790.0","33365.0","32695.0","32171.0","31761.0","31498.0","31128.0","30730.0","30354.0","29808.0","29334.0",""
"総人口_紀の川市","","64431.0","64592.0","64674.0","64533.0","64821.0","65126.0","65211.0","66058.0","66865.0","67882.0","68802.0","69538.0","69745.0","70110.0","70115.0","70067.0","69690.0","69250.0","68848.0","68412.0","67862.0","67855.0","67370.0","66656.0","66243.0","65840.0","65225.0","64605.0","64015.0","63357.0","62650.0",""
"総人口_岩出市","","28066.0","28663.0","29027.0","29872.0","31341.0","32846.0","34332.0","35982.0","37738.0","39853.0","41550.0","43133.0","44804.0","45972.0","47264.0","48156.0","48799.0","49513.0","49982.0","50690.0","50834.0","51516.0","51821.0","52088.0","52481.0","52882.0","53146.0","53196.0","53143.0","53397.0","53476.0",""
"総人口_紀美野町","","15037.0","14924.0","14752.0","14529.0","14287.0","14215.0","14035.0","13869.0","13649.0","13494.0","13378.0","13191.0","12973.0","12748.0","12554.0","12387.0","12234.0","12057.0","11939.0","11823.0","11643.0","11487.0","11210.0","10929.0","10686.0","10391.0","10154.0","9948.0","9706.0","9461.0","9211.0",""
"総人口_かつらぎ町","","23924.0","23659.0","23423.0","23194.0","22965.0","22764.0","22638.0","22528.0","22316.0","22202.0","22052.0","21833.0","21653.0","21413.0","21122.0","20945.0","20708.0","20536.0","20270.0","19969.0","19670.0","19427.0","19063.0","18760.0","18574.0","18230.0","17948.0","17730.0","17469.0","17276.0","17009.0",""
"総人口_九度山町","","7395.0","7385.0","7301.0","7191.0","7162.0","7076.0","7008.0","6891.0","6815.0","6751.0","6661.0","6567.0","6427.0","6297.0","6214.0","6073.0","5978.0","5899.0","5800.0","5646.0","5516.0","5402.0","5298.0","5153.0","5074.0","4963.0","4866.0","4779.0","4612.0","4480.0","4384.0",""
"総人口_高野町","","7054.0","6919.0","7024.0","6914.0","6720.0","6611.0","6590.0","6575.0","6455.0","6395.0","6386.0","6239.0","6014.0","5783.0","5569.0","5355.0","5225.0","5087.0","4924.0","4781.0","4632.0","4501.0","4313.0","4192.0","4093.0","3975.0","3863.0","3691.0","3560.0","3429.0","3343.0",""
"総人口_湯浅町","","17171.0","17063.0","16970.0","16781.0","16616.0","16525.0","16410.0","16253.0","16134.0","16177.0","16067.0","15941.0","15788.0","15618.0","15476.0","15410.0","15306.0","15103.0","15011.0","14843.0","14742.0","14424.0","14083.0","13747.0","13482.0","13210.0","13054.0","12877.0","12655.0","12431.0","12205.0",""
"総人口_広川町","","9003.0","8966.0","8969.0","8898.0","8887.0","8809.0","8745.0","8717.0","8735.0","8693.0","8735.0","8628.0","8499.0","8470.0","8443.0","8361.0","8291.0","8261.0","8212.0","8127.0","8071.0","7985.0","7895.0","7872.0","7772.0","7714.0","7630.0","7539.0","7473.0","7385.0","7230.0",""
"総人口_有田川町","","30322.0","30122.0","30027.0","30015.0","29937.0","29870.0","29872.0","29780.0","29710.0","29726.0","29703.0","29674.0","29728.0","29694.0","29626.0","29563.0","29415.0","29341.0","29170.0","28935.0","28640.0","28435.0","28191.0","27832.0","27496.0","27162.0","26891.0","26783.0","26623.0","26540.0","26379.0",""
"総人口_美浜町","","9042.0","8976.0","9081.0","9081.0","9001.0","8920.0","8958.0","8975.0","8959.0","8951.0","8919.0","8949.0","8876.0","8906.0","8818.0","8802.0","8848.0","8744.0","8652.0","8528.0","8462.0","8362.0","8261.0","8234.0","8163.0","8077.0","7968.0","7874.0","7726.0","7597.0","7482.0",""
"総人口_日高町","","6975.0","6935.0","6914.0","6898.0","6889.0","6862.0","6818.0","6869.0","6839.0","6909.0","6926.0","6885.0","6961.0","7019.0","7075.0","7148.0","7162.0","7163.0","7222.0","7287.0","7344.0","7388.0","7479.0","7457.0","7428.0","7432.0","7517.0","7501.0","7578.0","7606.0","7641.0",""
